diqu,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
beijin,324017423,21.53,134994,11575.4,9976,59.29,62406.3,24240.5,5430.79,812.86,28014.94,22567.76,8370.44,128994,776.84
tianjin,112919165,32.02,96965,5729.7,5539,51.47,40277.5,21753.7,2310.36,269.48,18549.19,10786.64,11288.92,118944,461.66
hebei,49855543,74.71,65266,15907.6,80912,126.89,30547.8,12880.9,3233.83,535.32,34016.32,15040.13,33406.8,45387,401.76
shanxi,17186875,9.17,61547,6918.1,42490,76.3,29131.8,10787.5,1867,428.68,15528.42,8030.37,6040.54,42060,134.43
neimenggu,13873523,3.5,67688,7160.2,24218,44.81,35670,12584.3,1703.21,280.63,16096.21,8046.76,14013.16,63764,135.58
liaoning,99595084,191.93,62545,13807.2,35767,98.1,34993.4,13746.8,2392.77,519.48,23409.24,12307.16,6676.74,53527,583.66
jilin,18542971,21.22,62908,7855.8,20828,64.39,28318.7,12950.4,1210.91,307.06,14944.53,6850.66,13283.89,54838,98.95
heilongjiang,18951195,28.37,59995,9099.2,20283,73.42,27446,12664.8,1243.31,413.01,15902.68,8876.83,11291.98,41916,115.28
shanghai,476196649,18.76,130765,11830.3,5144,51.49,62595.7,27825,6642.26,632.31,30632.99,21191.54,7246.6,126634,1978.15
jiangsu,590778136,376.11,79741,31737.4,32037,176.79,43621.8,19158,8171.53,1484.6,85869.76,43169.73,53277.03,107150,3477.47
zhejiang,377907471,73.81,82642,24308.5,31979,100.23,51260.7,24955.8,5804.38,1054.5,51768.26,27602.26,31696.03,9205,1205.31
anhui,54021626,92.77,67927,11192.6,24491,114.74,31640.3,12758.2,2812.45,516.21,27018,11597.45,29275.06,43401,276.94
fujian,171020040,71.46,69029,13013,27217,75.1,39001.4,16334.8,2809.03,672.48,32182.09,14612.67,26416.28,82677,1156.5
jiangxi,44338984,62.22,63069,7448.1,37791,104.83,31198.1,13241.8,2247.06,463.54,20006.31,8543.07,22085.34,43424,367.8
shandong,264550956,274.33,69305,33649,79050,201.53,36789.4,15117.5,6098.63,1192.94,72634.15,34858.6,55202.72,72807,1140.05
hebei,77630090,83.58,55997,19666.8,71089,200.47,29557.9,12719.2,3407.22,1129.35,44552.83,19308.02,44496.93,46674,270.95
hubei,46337190,63.73,67736,17394.1,36357,140.09,31889.4,13812.1,3248.32,695.02,35478.09,16507.38,32282.36,60199,583.35
hunan,36033297,118.64,65994,14854.9,58624,127.32,33947.9,12935.8,2757.82,565.75,33902.96,16759.07,31959.23,49558,201.4
guangdong,1006678374,259.69,80020,38200.1,49874,192.58,40975.1,15779.7,11320.35,1963.1,89705.23,48085.73,37761.75,80932,3467.81
guangxi,57878659,17.54,66456,7813,34008,86.67,30502.1,11325.5,1615.13,398.03,18523.26,8194.11,20499.11,38102,322.85
hainan,10374055,3.49,69062,1618.8,5180,18.55,30817.4,12901.8,674.11,100.86,4462.54,2503.35,4244.4,48430,55.05
chongqin,66601107,68.67,73272,8067.7,19682,74.69,32193.2,12637.9,2252.38,406.39,19424.73,9564.03,17537.05,63442,334.37
sicuan,68106058,22.71,71631,17480.5,80481,149.97,30726.9,12226.9,3577.99,792.21,36980.22,18389.74,31902.09,44651,551.17
guizhou,8162313,29.46,75109,4154,28034,62.77,29079.8,8869.1,1613.84,315.22,13540.83,6080.42,15503.86,37956,22.3
yunnan,23451109,8.67,73515,6423.1,24684,70.59,30995.9,9862.2,1886.17,422.41,16376.34,7833,18935.99,4221,36.24
xizang,863450,3.46,115549,523.3,6826,3.56,30671.1,10330.2,185.83,33.3,1310.92,674.55,1975.6,39267,5.96
shanxi,40202798,61.85,67433,8236.4,35861,106.94,30810.3,10264.5,2006.69,510.39,21898.81,9274.48,23819.38,57266,168.36
gansu,4826333,4.8,65726,3426.6,28857,46.62,27763.4,8076.1,815.73,259.22,7459.9,4038.36,5827.75,28497,1.5
qinghai,655751,3.96,76535,839,6375,6.7,29168.9,9462.3,246.2,63.35,2624.83,1224.01,3883.55,44047,1.85
ningxia,5039517,4.59,72779,930.4,4271,12.11,29472.3,10737.9,417.59,71.14,3443.56,1612.37,3728.38,50765,45.52
xingjiang,20568530,21.68,68641,3044.6,18724,34.6,30774.8,11045.3,1466.52,335.01,10881.96,4999.23,12089.12,44941,33.33
